class_name,file,package,kind,modifiers,extends,implements,in_degree,out_degree,internal_degree,instability,depth,reachable,pagerank,betweenness,in_cycle,is_leaf,is_dead,total_imports,n_internal,n_java_stdlib,n_javax_stdlib,n_external,n_nist_other,n_nist_epqdatabase,n_nist_epqimage,n_nist_epqlibrary,n_nist_epqtests,n_nist_epqtools,n_nist_jythongui,n_nist_nistmonte,n_nist_utility
EdgeEnergy,EdgeEnergy.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,5,6,11,0.5455,2,93,0.006329,0.000314,True,False,False,7,0,5,0,0,0,0,0,0,0,0,0,0,2
EditableSpectrum,EditableSpectrum.java,gov.nist.microanalysis.EPQLibrary,class,public,BaseSpectrum,,8,3,11,0.2727,2,93,0.004401,0.000784,True,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ElectronRange,ElectronRange.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,3,9,12,0.75,2,93,0.002383,0.000196,True,False,False,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Element,Element.java,gov.nist.microanalysis.EPQLibrary,class,public,,"Comparable, Serializable",86,7,93,0.0753,2,93,0.061922,0.131422,True,False,False,10,0,9,0,0,0,0,0,0,0,0,0,0,1
EPMAOptimizer,EPMAOptimizer.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,,,1,15,16,0.9375,5,97,0.002106,0.000324,False,False,False,15,4,9,0,0,0,0,0,0,0,0,0,0,2
EPQException,EPQException.java,gov.nist.microanalysis.EPQLibrary,class,public,Exception,,64,0,64,0.0,0,0,0.038348,0.0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPQFatalException,EPQFatalException.java,gov.nist.microanalysis.EPQLibrary,class,public,RuntimeException,,20,0,20,0.0,0,0,0.033759,0.0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExtremumSpectrum,ExtremumSpectrum.java,gov.nist.microanalysis.EPQLibrary,class,public,BaseSpectrum,,0,6,6,1.0,3,94,0.001977,0.0,False,False,False,4,0,4,0,0,0,0,0,0,0,0,0,0,0
FilteredSpectrum,FilteredSpectrum.java,gov.nist.microanalysis.EPQLibrary,class,public,DerivedSpectrum,,2,11,13,0.8462,2,93,0.002172,6.7e-05,True,False,False,4,1,1,0,0,0,0,0,0,0,0,0,0,2
FilterFit,FilterFit.java,gov.nist.microanalysis.EPQLibrary,class,public,LinearSpectrumFit,,5,22,27,0.8148,2,93,0.002614,0.059393,True,False,False,16,2,12,0,0,0,0,0,0,0,0,0,0,2
FittingFilter,FittingFilter.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,,,2,0,2,0.0,0,0,0.002246,0.0,False,True,False,3,0,1,0,0,0,0,0,0,0,0,0,0,2
Fluorescence,Fluorescence.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,1,19,20,0.95,2,93,0.002206,0.020454,True,False,False,4,0,3,0,0,0,0,0,0,0,0,0,0,1
FluorescenceYield,FluorescenceYield.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,1,6,7,0.8571,2,93,0.005249,0.00574,True,False,False,3,0,2,0,0,0,0,0,0,0,0,0,0,1
FluorescenceYieldMean,FluorescenceYieldMean.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,2,5,7,0.7143,2,93,0.005347,0.000219,True,False,False,3,0,2,0,0,0,0,0,0,0,0,0,0,1
FromSI,FromSI.java,gov.nist.microanalysis.EPQLibrary,class,final public,,,51,1,52,0.0192,1,1,0.034566,0.0018,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Gas,Gas.java,gov.nist.microanalysis.EPQLibrary,class,public,Material,,1,4,5,0.8,3,94,0.002537,7.5e-05,False,False,False,3,0,2,0,0,0,0,0,0,0,0,0,0,1
GasMixture,GasMixture.java,gov.nist.microanalysis.EPQLibrary,class,public,Material,,0,3,3,1.0,4,95,0.001977,0.0,False,False,False,3,0,3,0,0,0,0,0,0,0,0,0,0,0
GasScatteringCrossSection,GasScatteringCrossSection.java,gov.nist.microanalysis.EPQLibrary,class,public,RandomizedScatter,,1,6,7,0.8571,4,100,0.002334,8.3e-05,True,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1
GaussianSumSpectrum,GaussianSumSpectrum.java,gov.nist.microanalysis.EPQLibrary,class,public,EditableSpectrum,,0,5,5,1.0,3,94,0.001977,0.0,False,False,False,4,2,1,0,0,0,0,0,0,0,0,0,0,1
IonizationCrossSection,IonizationCrossSection.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,3,5,8,0.625,2,93,0.002786,0.0001,True,False,False,3,0,0,0,0,0,0,0,0,0,0,0,0,3
IonizationDepthRatio,IonizationDepthRatio.java,gov.nist.microanalysis.EPQLibrary,class,public abstract,AlgorithmClass,,1,3,4,0.75,2,93,0.002076,1.2e-05,True,False,False,2,0,2,0,0,0,0,0,0,0,0,0,0,0
ISpectrumData,ISpectrumData.java,gov.nist.microanalysis.EPQLibrary,interface,public,Comparable,,37,1,38,0.0263,2,93,0.019065,0.006132,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISpectrumTransformation,ISpectrumTransformation.java,gov.nist.microanalysis.EPQLibrary,interface,public,,,2,1,3,0.3333,2,93,0.002638,0.0,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IterationAlgorithm,IterationAlgorithm.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,1,6,7,0.8571,3,94,0.002102,6.7e-05,False,False,False,9,0,8,0,0,0,0,0,0,0,0,0,0,1
ITransform,ITransform.java,gov.nist.microanalysis.EPQLibrary,interface,public,,,1,0,1,0.0,0,0,0.002106,0.0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JumpRatio,JumpRatio.java,gov.nist.microanalysis.EPQLibrary,class,public abstract,AlgorithmClass,,1,5,6,0.8333,2,93,0.002076,0.0,True,False,False,2,0,2,0,0,0,0,0,0,0,0,0,0,0
KRatioSet,KRatioSet.java,gov.nist.microanalysis.EPQLibrary,class,public,,Cloneable,15,5,20,0.25,2,93,0.008674,0.001169,True,False,False,13,0,10,0,0,0,0,0,0,0,0,0,0,3
LenardCoefficient,LenardCoefficient.java,gov.nist.microanalysis.EPQLibrary,class,public abstract,AlgorithmClass,,1,4,5,0.8,2,93,0.002076,1.2e-05,True,False,False,2,0,2,0,0,0,0,0,0,0,0,0,0,0
LinearSpectrumFit,LinearSpectrumFit.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,LinearLeastSquares,,4,13,17,0.7647,2,93,0.002463,0.00038,True,False,False,6,2,3,0,0,0,0,0,0,0,0,0,0,1
LitReference,LitReference.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,,,35,1,36,0.0278,2,93,0.029504,0.008026,True,False,False,4,0,4,0,0,0,0,0,0,0,0,0,0,0
MACCache,MACCache.java,gov.nist.microanalysis.EPQLibrary,class,public,,,0,2,2,1.0,3,94,0.001977,0.0,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MajorMinorTrace,MajorMinorTrace.java,gov.nist.microanalysis.EPQLibrary,enum,public,,,0,2,2,1.0,3,94,0.001977,0.0,False,False,False,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MapImage,MapImage.java,gov.nist.microanalysis.EPQLibrary,class,public,,,0,8,8,1.0,5,96,0.001977,0.0,False,False,False,20,1,14,1,0,0,0,0,0,0,2,0,0,2
MassAbsorptionCoefficient,MassAbsorptionCoefficient.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,23,13,36,0.3611,2,93,0.013755,0.009655,True,False,False,18,1,13,0,0,0,0,0,0,0,0,0,0,4
Material,Material.java,gov.nist.microanalysis.EPQLibrary,class,public,Composition,,28,4,32,0.125,2,93,0.018688,0.002135,True,False,False,6,0,5,0,0,0,0,0,0,0,0,0,0,1
MaterialFactory,MaterialFactory.java,gov.nist.microanalysis.EPQLibrary,class,public,,,7,5,12,0.4167,2,93,0.003563,0.000138,True,False,False,14,0,13,0,0,0,0,0,0,0,1,0,0,0
MeanIonizationPotential,MeanIonizationPotential.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,7,7,14,0.5,2,93,0.015912,0.005346,True,False,False,3,0,2,0,0,0,0,0,0,0,0,0,0,1
MicrocalSpectrumFitter,MicrocalSpectrumFitter.java,gov.nist.microanalysis.EPQLibrary,class,public,,,0,15,15,1.0,3,94,0.001977,0.0,False,False,False,19,2,9,0,1,0,0,0,0,0,0,0,0,7
MLLSQSignature,MLLSQSignature.java,gov.nist.microanalysis.EPQLibrary,class,public,,Cloneable,0,18,18,1.0,3,94,0.001977,0.0,False,False,False,9,2,6,0,0,0,0,0,0,0,0,0,0,1
MuCal,MuCal.java,gov.nist.microanalysis.EPQLibrary,class,public,,,0,7,7,1.0,3,94,0.001977,0.0,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1
MultiSpectrumMetrics,MultiSpectrumMetrics.java,gov.nist.microanalysis.EPQLibrary,class,public,,,0,4,4,1.0,3,94,0.001977,0.0,False,False,False,7,0,6,0,0,0,0,0,0,0,0,0,0,1
NISTMottScatteringAngle,NISTMottScatteringAngle.java,gov.nist.microanalysis.EPQLibrary,class,public,RandomizedScatter,,1,3,4,0.75,4,100,0.002334,0.0,True,False,False,7,0,6,0,0,0,0,0,0,0,0,0,0,1
NISTXRayTransitionDB,NISTXRayTransitionDB.java,gov.nist.microanalysis.EPQLibrary,class,public,,,0,2,2,1.0,3,94,0.001977,0.0,False,False,False,8,0,8,0,0,0,0,0,0,0,0,0,0,0
NoisySpectrum,NoisySpectrum.java,gov.nist.microanalysis.EPQLibrary,class,public,DerivedSpectrum,,0,4,4,1.0,3,94,0.001977,0.0,False,False,False,2,0,1,0,0,0,0,0,0,0,0,0,0,1
Oxidizer,Oxidizer.java,gov.nist.microanalysis.EPQLibrary,class,public,,,3,3,6,0.5,2,93,0.002536,7.5e-05,True,False,False,12,0,8,0,0,0,0,0,0,0,0,0,0,4
PandPDatabase,PandPDatabase.java,gov.nist.microanalysis.EPQLibrary,class,public,,,0,6,6,1.0,3,94,0.001977,0.0,False,False,False,2,0,1,0,0,0,0,0,0,0,0,0,0,1
PAP1991,PAP1991.java,gov.nist.microanalysis.EPQLibrary,class,public,CorrectionAlgorithm.PhiRhoZAlgorithm,,3,18,21,0.8571,2,93,0.002538,0.009864,True,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ParticleSignature,ParticleSignature.java,gov.nist.microanalysis.EPQLibrary,class,public,,,3,3,6,0.5,2,93,0.005713,0.000517,True,False,False,18,0,15,0,0,0,0,0,0,0,0,0,0,3
PeakROISearch,PeakROISearch.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,2,12,14,0.8571,2,93,0.00219,0.007795,True,False,False,7,0,5,0,0,0,0,0,0,0,0,0,0,2
PeakStripping,PeakStripping.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,1,8,9,0.8889,2,93,0.002132,0.000209,True,False,False,3,0,2,0,0,0,0,0,0,0,0,0,0,1
PhysicalConstants,PhysicalConstants.java,gov.nist.microanalysis.EPQLibrary,class,public,,,9,0,9,0.0,0,0,0.065845,0.0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ProportionalIonizationCrossSection,ProportionalIonizationCrossSection.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,IonizationCrossSection,,4,7,11,0.6364,2,93,0.002694,0.00626,True,False,False,2,0,2,0,0,0,0,0,0,0,0,0,0,0
QuantificationOptimizer,QuantificationOptimizer.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,,,1,4,5,0.8,9,103,0.002082,0.0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QuantificationOptimizer2,QuantificationOptimizer2.java,gov.nist.microanalysis.EPQLibrary,class,public,QuantificationOptimizer,,0,16,16,1.0,10,104,0.001977,0.0,False,False,False,14,5,7,0,0,0,0,0,0,0,1,0,0,1
QuantificationOutline,QuantificationOutline.java,gov.nist.microanalysis.EPQLibrary,class,public,,,5,18,23,0.7826,5,98,0.002892,0.006149,False,False,False,24,3,17,0,0,0,0,0,0,0,0,0,0,4
QuantificationPlan,QuantificationPlan.java,gov.nist.microanalysis.EPQLibrary,class,public,,,2,15,17,0.8824,8,102,0.002525,0.001705,False,False,False,14,2,10,0,0,0,0,0,0,0,0,0,0,2
QuantifyUsingStandards,QuantifyUsingStandards.java,gov.nist.microanalysis.EPQLibrary,class,public,QuantificationOutline,,2,24,26,0.9231,7,100,0.002225,0.002082,False,False,False,25,5,16,0,0,0,0,0,0,0,1,0,0,3
QuantifyUsingSTEMinSEM,QuantifyUsingSTEMinSEM.java,gov.nist.microanalysis.EPQLibrary,class,public,,,1,16,17,0.9412,2,93,0.004901,0.095284,True,False,False,13,3,8,0,0,0,0,0,0,0,0,0,0,2
QuantifyUsingZetaFactors,QuantifyUsingZetaFactors.java,gov.nist.microanalysis.EPQLibrary,class,public,,,0,17,17,1.0,4,95,0.001977,0.0,False,False,False,20,1,14,0,0,0,0,0,0,0,2,0,0,3
RandomizedScatter,RandomizedScatter.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,5,3,8,0.375,3,94,0.004376,0.002884,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0
RandomizedScatterFactory,RandomizedScatterFactory.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,3,8,11,0.7273,4,100,0.003358,0.000708,True,False,False,2,0,2,0,0,0,0,0,0,0,0,0,0,0
RegionOfInterestSet,RegionOfInterestSet.java,gov.nist.microanalysis.EPQLibrary,class,public,,"Iterable, Comparable",19,10,29,0.3448,2,93,0.00562,0.004745,True,False,False,8,1,5,0,0,0,0,0,0,0,0,0,0,2
Riveros1993,Riveros1993.java,gov.nist.microanalysis.EPQLibrary,class,public,,,2,6,8,0.75,2,93,0.027184,0.006516,True,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ROISpectrum,ROISpectrum.java,gov.nist.microanalysis.EPQLibrary,class,public,DerivedSpectrum,,1,10,11,0.9091,2,93,0.002078,0.006048,True,False,False,7,2,4,0,0,0,0,0,0,0,1,0,0,0
ROISpectrumNaive,ROISpectrumNaive.java,gov.nist.microanalysis.EPQLibrary,class,public,DerivedSpectrum,,1,8,9,0.8889,2,93,0.002078,0.0,True,False,False,3,1,0,0,0,0,0,0,0,0,0,0,0,2
