source_class,source_file,dep_fqn,dep_simple,dep_category,rel_type,is_internal_target
Translate2D,Translate2D.java,java.util.Iterator,Iterator,java_stdlib,import,False
UncertainValue2,UncertainValue2.java,java.text.NumberFormat,NumberFormat,java_stdlib,import,False
UncertainValue2,UncertainValue2.java,java.util.ArrayList,ArrayList,java_stdlib,import,False
UncertainValue2,UncertainValue2.java,java.util.Arrays,Arrays,java_stdlib,import,False
UncertainValue2,UncertainValue2.java,java.util.Collection,Collection,java_stdlib,import,False
UncertainValue2,UncertainValue2.java,java.util.Collections,Collections,java_stdlib,import,False
UncertainValue2,UncertainValue2.java,java.util.HashMap,HashMap,java_stdlib,import,False
UncertainValue2,UncertainValue2.java,java.util.HashSet,HashSet,java_stdlib,import,False
UncertainValue2,UncertainValue2.java,java.util.Map,Map,java_stdlib,import,False
UncertainValue2,UncertainValue2.java,java.util.Objects,Objects,java_stdlib,import,False
UncertainValue2,UncertainValue2.java,java.util.Set,Set,java_stdlib,import,False
UncertainValue2,UncertainValue2.java,java.util.TreeMap,TreeMap,java_stdlib,import,False
UncertainValue2,UncertainValue2.java,java.util.TreeSet,TreeSet,java_stdlib,import,False
UncertainValue2,UncertainValue2.java,Jama.Matrix,Matrix,external,import,False
UncertainValue2,UncertainValue2.java,gov.nist.microanalysis.EPQLibrary.EPQException,EPQException,nist_epqlibrary,import,False
UncertainValue2,UncertainValue2.java,Number,Number,unknown,extends,False
UncertainValue2,UncertainValue2.java,Comparable,Comparable,unknown,implements,False
UncertainValueMC,UncertainValueMC.java,java.util.Map,Map,java_stdlib,import,False
UncertainValueMC,UncertainValueMC.java,java.util.Random,Random,java_stdlib,import,False
UncertainValueMC,UncertainValueMC.java,Number,Number,unknown,extends,False
UtilException,UtilException.java,Exception,Exception,unknown,extends,False
AdaptiveRungeKutta,AdaptiveRungeKutta.java,gov.nist.microanalysis.Utility.UtilException,UtilException,internal,implicit,True
Constraint,Constraint.java,gov.nist.microanalysis.Utility.UncertainValue2,UncertainValue2,internal,implicit,True
DescriptiveStatistics,DescriptiveStatistics.java,gov.nist.microanalysis.Utility.UncertainValue2,UncertainValue2,internal,implicit,True
ExponentFormat,ExponentFormat.java,gov.nist.microanalysis.Utility.HalfUpFormat,HalfUpFormat,internal,implicit,True
HTMLFormat,HTMLFormat.java,gov.nist.microanalysis.Utility.HalfUpFormat,HalfUpFormat,internal,implicit,True
Integrator,Integrator.java,gov.nist.microanalysis.Utility.UtilException,UtilException,internal,implicit,True
LevenbergMarquardt2,LevenbergMarquardt2.java,gov.nist.microanalysis.Utility.UncertainValue2,UncertainValue2,internal,implicit,True
LevenbergMarquardt2,LevenbergMarquardt2.java,gov.nist.microanalysis.Utility.Math2,Math2,internal,implicit,True
LevenbergMarquardtConstrained,LevenbergMarquardtConstrained.java,gov.nist.microanalysis.Utility.Constraint,Constraint,internal,implicit,True
LevenbergMarquardtConstrained,LevenbergMarquardtConstrained.java,gov.nist.microanalysis.Utility.UncertainValue2,UncertainValue2,internal,implicit,True
LevenbergMarquardtParameterized,LevenbergMarquardtParameterized.java,gov.nist.microanalysis.Utility.LevenbergMarquardt2,LevenbergMarquardt2,internal,implicit,True
LevenbergMarquardtParameterized,LevenbergMarquardtParameterized.java,gov.nist.microanalysis.Utility.LevenbergMarquardtConstrained,LevenbergMarquardtConstrained,internal,implicit,True
LevenbergMarquardtParameterized,LevenbergMarquardtParameterized.java,gov.nist.microanalysis.Utility.Constraint,Constraint,internal,implicit,True
LevenbergMarquardtParameterized,LevenbergMarquardtParameterized.java,gov.nist.microanalysis.Utility.UncertainValue2,UncertainValue2,internal,implicit,True
LinearLeastSquares,LinearLeastSquares.java,gov.nist.microanalysis.Utility.UncertainValue2,UncertainValue2,internal,implicit,True
LinearLeastSquares,LinearLeastSquares.java,gov.nist.microanalysis.Utility.Math2,Math2,internal,implicit,True
LinearRegression,LinearRegression.java,gov.nist.microanalysis.Utility.LazyEvaluate,LazyEvaluate,internal,implicit,True
LinearRegression,LinearRegression.java,gov.nist.microanalysis.Utility.Math2,Math2,internal,implicit,True
Math2,Math2.java,gov.nist.microanalysis.Utility.FindRoot,FindRoot,internal,implicit,True
MCIntegrator,MCIntegrator.java,gov.nist.microanalysis.Utility.Math2,Math2,internal,implicit,True
MCUncertaintyEngine,MCUncertaintyEngine.java,gov.nist.microanalysis.Utility.UncertainValueMC,UncertainValueMC,internal,implicit,True
MCUncertaintyEngine,MCUncertaintyEngine.java,gov.nist.microanalysis.Utility.UncertainValue2,UncertainValue2,internal,implicit,True
MCUncertaintyEngine,MCUncertaintyEngine.java,gov.nist.microanalysis.Utility.DescriptiveStatistics,DescriptiveStatistics,internal,implicit,True
MultiDHistogram,MultiDHistogram.java,gov.nist.microanalysis.Utility.Math2,Math2,internal,implicit,True
PoissonDeviate,PoissonDeviate.java,gov.nist.microanalysis.Utility.Math2,Math2,internal,implicit,True
ProgressEvent,ProgressEvent.java,gov.nist.microanalysis.Utility.Math2,Math2,internal,implicit,True
Simplex,Simplex.java,gov.nist.microanalysis.Utility.UtilException,UtilException,internal,implicit,True
StageRelocation,StageRelocation.java,gov.nist.microanalysis.Utility.Math2,Math2,internal,implicit,True
StageRelocation,StageRelocation.java,gov.nist.microanalysis.Utility.Simplex,Simplex,internal,implicit,True
Translate2D,Translate2D.java,gov.nist.microanalysis.Utility.Math2,Math2,internal,implicit,True
Translate2D,Translate2D.java,gov.nist.microanalysis.Utility.Simplex,Simplex,internal,implicit,True
Translate2D,Translate2D.java,gov.nist.microanalysis.Utility.UtilException,UtilException,internal,implicit,True
Translate2D,Translate2D.java,gov.nist.microanalysis.Utility.HalfUpFormat,HalfUpFormat,internal,implicit,True
UncertainValue,UncertainValue.java,gov.nist.microanalysis.Utility.UncertainValue2,UncertainValue2,internal,implicit,True
UncertainValue2,UncertainValue2.java,gov.nist.microanalysis.Utility.ExponentFormat,ExponentFormat,internal,implicit,True
UncertainValue2,UncertainValue2.java,gov.nist.microanalysis.Utility.HalfUpFormat,HalfUpFormat,internal,implicit,True
UncertainValue2,UncertainValue2.java,gov.nist.microanalysis.Utility.UtilException,UtilException,internal,implicit,True
UncertainValue2,UncertainValue2.java,gov.nist.microanalysis.Utility.Math2,Math2,internal,implicit,True
UncertainValueMC,UncertainValueMC.java,gov.nist.microanalysis.Utility.UncertainValue2,UncertainValue2,internal,implicit,True
