cycle,length,position,class_name
48,20,10,MassAbsorptionCoefficient
48,20,11,AtomicShell
48,20,12,AlgorithmUser
48,20,13,CorrectionAlgorithm
48,20,14,Armstrong1982ParticleCorrection
48,20,15,Armstrong1982Correction
48,20,16,Armstrong1982Base
48,20,17,SpectrumProperties
48,20,18,QuantifyUsingSTEMinSEM
48,20,19,FilterFit
49,18,0,FilteredSpectrum
49,18,1,DerivedSpectrum
49,18,2,BaseSpectrum
49,18,3,SpectrumUtils
49,18,4,EDSDetector
49,18,5,Element
49,18,6,MeanIonizationPotential
49,18,7,AlgorithmClass
49,18,8,LitReference
49,18,9,Riveros1993
49,18,10,MassAbsorptionCoefficient
49,18,11,AtomicShell
49,18,12,AlgorithmUser
49,18,13,CorrectionAlgorithm
49,18,14,Armstrong1982ParticleCorrection
49,18,15,SpectrumProperties
49,18,16,QuantifyUsingSTEMinSEM
49,18,17,FilterFit
50,18,0,FilteredSpectrum
50,18,1,DerivedSpectrum
50,18,2,BaseSpectrum
50,18,3,SpectrumUtils
50,18,4,EDSDetector
50,18,5,Element
50,18,6,MeanIonizationPotential
50,18,7,AlgorithmClass
50,18,8,LitReference
50,18,9,Riveros1993
50,18,10,MassAbsorptionCoefficient
50,18,11,Material
50,18,12,Composition
50,18,13,AlgorithmUser
50,18,14,CorrectionAlgorithm
50,18,15,SpectrumProperties
50,18,16,QuantifyUsingSTEMinSEM
50,18,17,FilterFit
51,19,0,FilteredSpectrum
51,19,1,DerivedSpectrum
51,19,2,BaseSpectrum
51,19,3,SpectrumUtils
51,19,4,EDSDetector
51,19,5,Element
51,19,6,MeanIonizationPotential
51,19,7,AlgorithmClass
51,19,8,LitReference
51,19,9,Riveros1993
51,19,10,MassAbsorptionCoefficient
51,19,11,Material
51,19,12,Composition
51,19,13,AlgorithmUser
51,19,14,CorrectionAlgorithm
51,19,15,Fluorescence
51,19,16,SpectrumProperties
51,19,17,QuantifyUsingSTEMinSEM
51,19,18,FilterFit
52,19,0,FilteredSpectrum
52,19,1,DerivedSpectrum
52,19,2,BaseSpectrum
52,19,3,SpectrumUtils
52,19,4,EDSDetector
52,19,5,Element
52,19,6,MeanIonizationPotential
52,19,7,AlgorithmClass
52,19,8,LitReference
52,19,9,Riveros1993
52,19,10,MassAbsorptionCoefficient
52,19,11,Material
52,19,12,Composition
52,19,13,AlgorithmUser
52,19,14,CorrectionAlgorithm
52,19,15,PAP1991
52,19,16,SpectrumProperties
52,19,17,QuantifyUsingSTEMinSEM
52,19,18,FilterFit
53,19,0,FilteredSpectrum
53,19,1,DerivedSpectrum
53,19,2,BaseSpectrum
53,19,3,SpectrumUtils
53,19,4,EDSDetector
53,19,5,Element
53,19,6,MeanIonizationPotential
53,19,7,AlgorithmClass
53,19,8,LitReference
53,19,9,Riveros1993
53,19,10,MassAbsorptionCoefficient
53,19,11,Material
53,19,12,Composition
53,19,13,AlgorithmUser
53,19,14,CorrectionAlgorithm
53,19,15,XPP1991
53,19,16,SpectrumProperties
53,19,17,QuantifyUsingSTEMinSEM
53,19,18,FilterFit
54,20,0,FilteredSpectrum
54,20,1,DerivedSpectrum
54,20,2,BaseSpectrum
54,20,3,SpectrumUtils
54,20,4,EDSDetector
54,20,5,Element
54,20,6,MeanIonizationPotential
54,20,7,AlgorithmClass
54,20,8,LitReference
54,20,9,Riveros1993
54,20,10,MassAbsorptionCoefficient
54,20,11,Material
54,20,12,Composition
54,20,13,AlgorithmUser
54,20,14,CorrectionAlgorithm
54,20,15,XPP1991
54,20,16,PAP1991
54,20,17,SpectrumProperties
54,20,18,QuantifyUsingSTEMinSEM
54,20,19,FilterFit
55,20,0,FilteredSpectrum
55,20,1,DerivedSpectrum
55,20,2,BaseSpectrum
55,20,3,SpectrumUtils
55,20,4,EDSDetector
55,20,5,Element
55,20,6,MeanIonizationPotential
55,20,7,AlgorithmClass
